,wav,txt,sentence
157,F05_a3_s028_v03.wav,au revoir yann,s028
158,M11_a2_s028_v03.wav,au revoir yann,s028
159,F08_a3_s028_v01.wav,au revoir yann,s028
160,M16_a2_s028_v01.wav,au revoir yann,s028
161,M12_a4_s029_v01.wav,bonjour marie,s029
162,M04_a2_s029_v04.wav,bonjour marie,s029
163,F20_a3_s029_v02.wav,bonjour marie,s029
164,M17_a3_s029_v02.wav,bonjour marie,s029
165,M12_a2_s030_v03.wav,ta soeur a bu,s030
166,F05_a3_s030_v02.wav,ta soeur a bu,s030
167,F14_a1_s030_v03.wav,ta soeur a bu,s030
168,F05_a4_s031_v03.wav,à demain paul,s031
169,M19_a1_s031_v04.wav,à demain paul,s031
170,F20_a1_s031_v04.wav,à demain paul,s031
171,F14_a1_s031_v01.wav,à demain paul,s031
172,M17_a2_s031_v03.wav,à demain paul,s031
173,F08_a3_s031_v04.wav,à demain paul,s031
174,F05_a4_s031_v04.wav,à demain paul,s031
175,F02_a2_s032_v02.wav,il faisait bon,s032
176,F06_a3_s032_v02.wav,il faisait bon,s032
177,M12_a1_s032_v01.wav,il faisait bon,s032
178,M11_a4_s032_v04.wav,il faisait bon,s032
179,F14_a3_s033_v01.wav,je pars demain,s033
180,M04_a1_s033_v02.wav,je pars demain,s033
181,F02_a4_s033_v02.wav,je pars demain,s033
182,M19_a1_s034_v01.wav,par ici jeanne,s034
183,F01_a1_s034_v01.wav,par ici jeanne,s034
184,M07_a2_s034_v02.wav,par ici jeanne,s034
185,F03_a1_s034_v03.wav,par ici jeanne,s034
186,F01_a1_s034_v03.wav,par ici jeanne,s034
187,M12_a1_s034_v01.wav,par ici jeanne,s034
188,F18_a3_s034_v02.wav,par ici jeanne,s034
189,M12_a4_s035_v04.wav,je pars ce soir,s035
190,F03_a1_s035_v01.wav,je pars ce soir,s035
191,F18_a3_s035_v01.wav,je pars ce soir,s035
192,M04_a2_s035_v02.wav,je pars ce soir,s035
193,F10_a3_s035_v06.wav,je pars ce soir,s035
194,F05_a1_s036_v03.wav,elle a pris peur,s036
195,M11_a2_s036_v05.wav,elle a pris peur,s036
196,M17_a3_s036_v03.wav,elle a pris peur,s036
197,F05_a4_s036_v03.wav,elle a pris peur,s036
198,F05_a1_s036_v04.wav,elle a pris peur,s036
199,M09_a2_s036_v05.wav,elle a pris peur,s036
200,M12_a2_s037_v01.wav,sans aucun doute,s037
201,F15_a4_s037_v01.wav,sans aucun doute,s037
202,M13_a3_s037_v02.wav,sans aucun doute,s037
203,F08_a3_s037_v02.wav,sans aucun doute,s037
204,F01_a3_s038_v02.wav,je prends le temps,s038
205,M19_a1_s038_v04.wav,je prends le temps,s038
206,F15_a1_s038_v01.wav,je prends le temps,s038
207,F10_a4_s038_v01.wav,je prends le temps,s038
208,F05_a4_s038_v01.wav,je prends le temps,s038
209,F05_a3_s038_v04.wav,je prends le temps,s038
210,M19_a1_s038_v03.wav,je prends le temps,s038
211,M07_a3_s039_v04.wav,veuillez me croire,s039
212,F15_a4_s039_v04.wav,veuillez me croire,s039
213,F10_a4_s039_v02.wav,veuillez me croire,s039
214,F05_a3_s039_v02.wav,veuillez me croire,s039
215,F10_a1_s039_v03.wav,veuillez me croire,s039
216,M16_a3_s040_v01.wav,donc fais moi signe,s040
217,F20_a3_s040_v02.wav,donc fais moi signe,s040
218,F15_a4_s040_v01.wav,donc fais moi signe,s040
219,M19_a1_s040_v03.wav,donc fais moi signe,s040
220,M16_a1_s040_v03.wav,donc fais moi signe,s040
221,F18_a2_s041_v04.wav,je prends une pause,s041
222,F15_a1_s041_v01.wav,je prends une pause,s041
223,F10_a1_s041_v05.wav,je prends une pause,s041
224,M17_a2_s041_v01.wav,je prends une pause,s041
225,M16_a1_s042_v03.wav,faites lui confiance,s042
226,F01_a3_s042_v01.wav,faites lui confiance,s042
227,F06_a1_s043_v04.wav,donne leur une chance,s043
228,M19_a1_s043_v06.wav,donne leur une chance,s043
229,M13_a4_s043_v05.wav,donne leur une chance,s043
230,M19_a1_s043_v05.wav,donne leur une chance,s043
231,M09_a2_s043_v05.wav,donne leur une chance,s043
232,F14_a4_s043_v03.wav,donne leur une chance,s043
233,M11_a3_s044_v03.wav,vous avez dormi,s044
234,F06_a1_s044_v05.wav,vous avez dormi,s044
235,F20_a1_s044_v04.wav,vous avez dormi,s044
236,M19_a1_s044_v02.wav,vous avez dormi,s044
237,M19_a1_s044_v03.wav,vous avez dormi,s044
238,F02_a4_s044_v04.wav,vous avez dormi,s044
239,M04_a1_s044_v02.wav,vous avez dormi,s044
240,M11_a3_s045_v04.wav,je suis parti tôt,s045
241,F06_a1_s045_v03.wav,je suis parti tôt,s045
242,M12_a1_s045_v04.wav,je suis parti tôt,s045
243,F02_a1_s045_v02.wav,je suis parti tôt,s045
244,M04_a2_s045_v04.wav,je suis parti tôt,s045
245,M19_a1_s046_v07.wav,nous avons chanté,s046
246,F05_a4_s046_v03.wav,nous avons chanté,s046
247,F10_a3_s046_v02.wav,nous avons chanté,s046
248,M12_a3_s047_v02.wav,nous avons eu peur,s047
249,F01_a2_s047_v03.wav,nous avons eu peur,s047
250,F01_a3_s047_v05.wav,nous avons eu peur,s047
251,F15_a1_s047_v02.wav,nous avons eu peur,s047
252,F01_a3_s048_v03.wav,veuillez m'écouter,s048
253,M19_a1_s048_v07.wav,veuillez m'écouter,s048
254,M13_a3_s048_v02.wav,veuillez m'écouter,s048
255,M07_a3_s048_v02.wav,veuillez m'écouter,s048
256,M13_a2_s048_v02.wav,veuillez m'écouter,s048
257,F05_a4_s048_v04.wav,veuillez m'écouter,s048
258,M12_a1_s048_v02.wav,veuillez m'écouter,s048
259,F10_a3_s048_v03.wav,veuillez m'écouter,s048
260,M12_a4_s049_v02.wav,bonne journée marie,s049
261,M17_a4_s049_v03.wav,bonne journée marie,s049
262,F06_a2_s049_v01.wav,bonne journée marie,s049
263,F02_a1_s049_v04.wav,bonne journée marie,s049
264,F15_a4_s049_v03.wav,bonne journée marie,s049
265,M04_a4_s050_v03.wav,donne moi une réponse,s050
266,F20_a4_s050_v04.wav,donne moi une réponse,s050
267,F01_a3_s050_v04.wav,donne moi une réponse,s050
268,F06_a2_s050_v01.wav,donne moi une réponse,s050
269,M13_a4_s050_v01.wav,donne moi une réponse,s050
270,F08_a4_s050_v04.wav,donne moi une réponse,s050
271,M12_a2_s051_v06.wav,il est tard à londres,s051
272,F18_a4_s051_v02.wav,il est tard à londres,s051
273,M11_a2_s052_v01.wav,je pars tout de suite,s052
274,M11_a3_s052_v01.wav,je pars tout de suite,s052
275,M13_a1_s052_v03.wav,je pars tout de suite,s052
276,F05_a4_s052_v04.wav,je pars tout de suite,s052
277,F01_a2_s052_v06.wav,je pars tout de suite,s052
278,F06_a4_s053_v05.wav,veuillez vous asseoir,s053
279,F02_a2_s053_v05.wav,veuillez vous asseoir,s053
280,F06_a3_s053_v03.wav,veuillez vous asseoir,s053
281,M12_a4_s053_v05.wav,veuillez vous asseoir,s053
282,F08_a4_s053_v03.wav,veuillez vous asseoir,s053
283,M09_a2_s054_v05.wav,faisons leur confiance,s054
284,F20_a3_s054_v04.wav,faisons leur confiance,s054
285,F14_a1_s054_v03.wav,faisons leur confiance,s054
286,F02_a2_s054_v02.wav,faisons leur confiance,s054
287,M13_a1_s055_v05.wav,tu as pris la fuite,s055
288,F18_a4_s055_v04.wav,tu as pris la fuite,s055
289,M12_a2_s055_v05.wav,tu as pris la fuite,s055
290,M17_a2_s055_v05.wav,tu as pris la fuite,s055
291,M12_a2_s056_v05.wav,faites moi donc une offre,s056
292,F18_a3_s056_v02.wav,faites moi donc une offre,s056
293,F06_a4_s056_v04.wav,faites moi donc une offre,s056
294,M12_a3_s056_v05.wav,faites moi donc une offre,s056
295,M12_a3_s056_v01.wav,faites moi donc une offre,s056
296,M13_a1_s056_v04.wav,faites moi donc une offre,s056
297,F02_a2_s057_v03.wav,vous avez réfléchi,s057
298,M16_a3_s057_v02.wav,vous avez réfléchi,s057
299,F06_a4_s057_v01.wav,vous avez réfléchi,s057
300,M04_a1_s057_v03.wav,vous avez réfléchi,s057
301,M13_a4_s057_v04.wav,vous avez réfléchi,s057
302,M04_a2_s058_v03.wav,il est tôt à new-york,s058
303,F10_a4_s058_v03.wav,il est tôt à new-york,s058
304,F15_a4_s058_v01.wav,il est tôt à new-york,s058
305,M04_a4_s058_v01.wav,il est tôt à new-york,s058
306,F20_a4_s059_v05.wav,il est tard à paris,s059
307,M17_a2_s059_v04.wav,il est tard à paris,s059
308,F02_a4_s059_v03.wav,il est tard à paris,s059
309,M11_a4_s059_v02.wav,il est tard à paris,s059
310,F15_a1_s059_v06.wav,il est tard à paris,s059
311,M19_a4_s060_v03.wav,donne moi une occasion,s060
312,M19_a1_s060_v06.wav,donne moi une occasion,s060
313,F05_a1_s060_v01.wav,donne moi une occasion,s060
314,M13_a3_s060_v05.wav,donne moi une occasion,s060
315,F18_a3_s061_v02.wav,tu as dit la même chose,s061
316,M13_a3_s061_v04.wav,tu as dit la même chose,s061
317,M13_a3_s061_v02.wav,tu as dit la même chose,s061
318,F10_a3_s061_v04.wav,tu as dit la même chose,s061
319,M16_a3_s061_v01.wav,tu as dit la même chose,s061
320,F02_a4_s062_v01.wav,vous avez pris le temps,s062
321,F15_a1_s062_v03.wav,vous avez pris le temps,s062
322,F15_a1_s062_v05.wav,vous avez pris le temps,s062
323,F08_a2_s062_v03.wav,vous avez pris le temps,s062
324,F08_a1_s062_v01.wav,vous avez pris le temps,s062
325,F06_a1_s063_v05.wav,il est tard à lisbonne,s063
326,M16_a3_s063_v01.wav,il est tard à lisbonne,s063
327,F05_a2_s063_v03.wav,il est tard à lisbonne,s063
328,F08_a2_s063_v02.wav,il est tard à lisbonne,s063
329,M16_a2_s063_v02.wav,il est tard à lisbonne,s063
330,F05_a2_s063_v02.wav,il est tard à lisbonne,s063
331,F08_a1_s063_v05.wav,il est tard à lisbonne,s063
332,M19_a4_s063_v08.wav,il est tard à lisbonne,s063
333,M13_a2_s064_v02.wav,nous allons prendre un verre,s064
334,M13_a3_s064_v04.wav,nous allons prendre un verre,s064
335,M17_a2_s064_v02.wav,nous allons prendre un verre,s064
336,M16_a3_s064_v03.wav,nous allons prendre un verre,s064
337,F03_a4_s064_v05.wav,nous allons prendre un verre,s064
338,M11_a1_s065_v01.wav,laisse moi une deuxième chance,s065
339,M07_a2_s065_v02.wav,laisse moi une deuxième chance,s065
340,F06_a3_s065_v01.wav,laisse moi une deuxième chance,s065
341,F06_a4_s065_v05.wav,laisse moi une deuxième chance,s065
342,M12_a4_s066_v01.wav,elle est partie pour bale,s066
343,F08_a1_s066_v03.wav,elle est partie pour bale,s066
344,F10_a4_s066_v04.wav,elle est partie pour bale,s066
345,M19_a1_s066_v06.wav,elle est partie pour bale,s066
346,F20_a4_s066_v02.wav,elle est partie pour bale,s066
347,M17_a3_s066_v04.wav,elle est partie pour bale,s066
348,M11_a4_s067_v05.wav,tu es parti en week-end,s067
349,M16_a1_s067_v03.wav,tu es parti en week-end,s067
350,M17_a2_s067_v05.wav,tu es parti en week-end,s067
351,F20_a4_s067_v04.wav,tu es parti en week-end,s067
352,M13_a2_s067_v03.wav,tu es parti en week-end,s067
353,M12_a3_s067_v02.wav,tu es parti en week-end,s067
354,F20_a1_s067_v01.wav,tu es parti en week-end,s067
355,M12_a4_s068_v06.wav,tu as oublié ma veste,s068
356,F20_a4_s068_v04.wav,tu as oublié ma veste,s068
357,M17_a2_s068_v02.wav,tu as oublié ma veste,s068
358,F08_a2_s068_v02.wav,tu as oublié ma veste,s068
359,F02_a1_s068_v01.wav,tu as oublié ma veste,s068
360,M19_a1_s068_v01.wav,tu as oublié ma veste,s068
361,M19_a1_s069_v04.wav,elle a oublié ma fête,s069
362,F10_a3_s069_v01.wav,elle a oublié ma fête,s069
363,F15_a1_s069_v04.wav,elle a oublié ma fête,s069
364,F05_a3_s069_v01.wav,elle a oublié ma fête,s069
365,F05_a3_s069_v02.wav,elle a oublié ma fête,s069
366,M13_a4_s069_v02.wav,elle a oublié ma fête,s069
367,F20_a4_s070_v03.wav,je suis parti loin d'ici,s070
368,F10_a3_s070_v03.wav,je suis parti loin d'ici,s070
369,F02_a2_s070_v05.wav,je suis parti loin d'ici,s070
370,M16_a1_s070_v02.wav,je suis parti loin d'ici,s070
371,F05_a3_s071_v04.wav,j'ai toussé toute la soirée,s071
372,F08_a2_s071_v03.wav,j'ai toussé toute la soirée,s071
373,M13_a4_s071_v05.wav,j'ai toussé toute la soirée,s071
374,M04_a1_s071_v02.wav,j'ai toussé toute la soirée,s071
375,F01_a3_s071_v05.wav,j'ai toussé toute la soirée,s071
376,F02_a2_s071_v03.wav,j'ai toussé toute la soirée,s071
377,M07_a3_s071_v01.wav,j'ai toussé toute la soirée,s071
378,F02_a1_s072_v01.wav,je suis parti sans trainer,s072
379,M17_a1_s072_v04.wav,je suis parti sans trainer,s072
380,M19_a4_s072_v03.wav,je suis parti sans trainer,s072
381,F14_a4_s072_v05.wav,je suis parti sans trainer,s072
382,M12_a4_s072_v02.wav,je suis parti sans trainer,s072
383,F08_a2_s073_v06.wav,tu as marché toute la nuit,s073
384,M13_a2_s073_v05.wav,tu as marché toute la nuit,s073
385,M11_a2_s073_v05.wav,tu as marché toute la nuit,s073
386,M16_a3_s073_v02.wav,tu as marché toute la nuit,s073
387,M07_a2_s073_v05.wav,tu as marché toute la nuit,s073
388,F20_a4_s073_v05.wav,tu as marché toute la nuit,s073
389,F05_a2_s073_v03.wav,tu as marché toute la nuit,s073
390,F03_a4_s074_v04.wav,tu es parti pour l'espagne,s074
391,F08_a4_s074_v05.wav,tu es parti pour l'espagne,s074
392,M16_a4_s074_v02.wav,tu es parti pour l'espagne,s074
393,M16_a1_s074_v02.wav,tu es parti pour l'espagne,s074
394,F01_a3_s075_v03.wav,vous êtes allés à la plage,s075
395,M19_a1_s075_v02.wav,vous êtes allés à la plage,s075
396,F08_a1_s075_v02.wav,vous êtes allés à la plage,s075
397,M13_a3_s076_v02.wav,elle est partie en vacances,s076
398,M16_a3_s076_v03.wav,elle est partie en vacances,s076
399,F01_a3_s076_v01.wav,elle est partie en vacances,s076
400,F14_a4_s076_v03.wav,elle est partie en vacances,s076
401,M16_a1_s076_v02.wav,elle est partie en vacances,s076
402,F20_a3_s076_v01.wav,elle est partie en vacances,s076
403,F02_a4_s076_v05.wav,elle est partie en vacances,s076
404,M13_a2_s076_v05.wav,elle est partie en vacances,s076
405,F01_a4_s076_v03.wav,elle est partie en vacances,s076
406,F15_a3_s077_v02.wav,nous allons attendre un peu,s077
407,M17_a4_s077_v01.wav,nous allons attendre un peu,s077
408,M16_a1_s078_v02.wav,nous allons prendre un café,s078
409,M16_a3_s078_v01.wav,nous allons prendre un café,s078
410,M19_a1_s078_v06.wav,nous allons prendre un café,s078
411,F05_a2_s078_v01.wav,nous allons prendre un café,s078
412,M17_a2_s078_v03.wav,nous allons prendre un café,s078
413,M12_a1_s078_v03.wav,nous allons prendre un café,s078
414,F05_a1_s078_v03.wav,nous allons prendre un café,s078
415,M04_a1_s079_v02.wav,ta soeur a bu toute la nuit,s079
416,F20_a4_s079_v01.wav,ta soeur a bu toute la nuit,s079
417,M11_a3_s079_v04.wav,ta soeur a bu toute la nuit,s079
418,M16_a1_s079_v01.wav,ta soeur a bu toute la nuit,s079
419,M11_a4_s079_v02.wav,ta soeur a bu toute la nuit,s079
420,F03_a3_s079_v07.wav,ta soeur a bu toute la nuit,s079
421,M13_a4_s079_v05.wav,ta soeur a bu toute la nuit,s079
422,M12_a3_s080_v04.wav,vous êtes partis rapidement,s080
423,M13_a3_s080_v02.wav,vous êtes partis rapidement,s080
424,F08_a4_s080_v02.wav,vous êtes partis rapidement,s080
425,M17_a3_s080_v02.wav,vous êtes partis rapidement,s080
426,F02_a4_s080_v03.wav,vous êtes partis rapidement,s080
427,F05_a1_s081_v03.wav,c’est vrai attendons un peu,s081
428,M19_a1_s081_v05.wav,c’est vrai attendons un peu,s081
429,F20_a3_s081_v04.wav,c’est vrai attendons un peu,s081
430,M07_a2_s081_v05.wav,c’est vrai attendons un peu,s081
431,F10_a4_s081_v03.wav,c’est vrai attendons un peu,s081
432,F05_a2_s081_v05.wav,c’est vrai attendons un peu,s081
433,F01_a3_s082_v04.wav,il faisait froid aujourd'hui,s082
434,F05_a3_s082_v03.wav,il faisait froid aujourd'hui,s082
435,M12_a4_s082_v02.wav,il faisait froid aujourd'hui,s082
436,M04_a4_s082_v03.wav,il faisait froid aujourd'hui,s082
437,M12_a1_s082_v05.wav,il faisait froid aujourd'hui,s082
438,M04_a3_s083_v02.wav,nous allons prendre la fuite,s083
439,F01_a4_s083_v02.wav,nous allons prendre la fuite,s083
440,F20_a4_s083_v02.wav,nous allons prendre la fuite,s083
441,F05_a2_s083_v01.wav,nous allons prendre la fuite,s083
442,M17_a4_s083_v03.wav,nous allons prendre la fuite,s083
443,M09_a2_s083_v04.wav,nous allons prendre la fuite,s083
444,M19_a1_s084_v08.wav,vous êtes partis en week-end,s084
445,M04_a2_s084_v02.wav,vous êtes partis en week-end,s084
446,F05_a4_s084_v02.wav,vous êtes partis en week-end,s084
447,M19_a4_s084_v01.wav,vous êtes partis en week-end,s084
448,M19_a4_s084_v03.wav,vous êtes partis en week-end,s084
449,F08_a1_s084_v01.wav,vous êtes partis en week-end,s084
450,F08_a4_s084_v02.wav,vous êtes partis en week-end,s084
451,F06_a4_s085_v03.wav,certes attendons qu'il arrive,s085
452,F06_a1_s085_v03.wav,certes attendons qu'il arrive,s085
453,F15_a4_s085_v04.wav,certes attendons qu'il arrive,s085
454,M19_a1_s085_v07.wav,certes attendons qu'il arrive,s085
455,M04_a2_s085_v01.wav,certes attendons qu'il arrive,s085
456,M12_a1_s085_v05.wav,certes attendons qu'il arrive,s085
457,M09_a4_s085_v03.wav,certes attendons qu'il arrive,s085
458,F14_a1_s086_v02.wav,il fait lourd ce soir à londres,s086
459,M13_a4_s086_v05.wav,il fait lourd ce soir à londres,s086
460,M07_a1_s086_v02.wav,il fait lourd ce soir à londres,s086
461,M07_a3_s086_v02.wav,il fait lourd ce soir à londres,s086
462,F06_a4_s086_v02.wav,il fait lourd ce soir à londres,s086
463,M19_a1_s086_v01.wav,il fait lourd ce soir à londres,s086
464,M19_a1_s087_v05.wav,nous allons prendre des vacances,s087
465,M07_a1_s087_v03.wav,nous allons prendre des vacances,s087
466,M04_a1_s087_v01.wav,nous allons prendre des vacances,s087
467,F01_a4_s087_v03.wav,nous allons prendre des vacances,s087
468,F02_a4_s087_v04.wav,nous allons prendre des vacances,s087
469,F14_a4_s087_v01.wav,nous allons prendre des vacances,s087
470,M17_a2_s087_v02.wav,nous allons prendre des vacances,s087
471,F06_a1_s088_v02.wav,vous avez oublié mon verre,s088
472,F01_a4_s088_v03.wav,vous avez oublié mon verre,s088
473,M19_a4_s088_v02.wav,vous avez oublié mon verre,s088
474,F08_a2_s088_v01.wav,vous avez oublié mon verre,s088
475,M17_a2_s088_v03.wav,vous avez oublié mon verre,s088
476,F10_a4_s088_v01.wav,vous avez oublié mon verre,s088
477,M17_a2_s088_v04.wav,vous avez oublié mon verre,s088
478,F02_a4_s089_v04.wav,elle a dit ce que je voulais,s089
479,F08_a2_s089_v05.wav,elle a dit ce que je voulais,s089
480,F15_a2_s089_v02.wav,elle a dit ce que je voulais,s089
481,F01_a3_s089_v01.wav,elle a dit ce que je voulais,s089
482,F01_a3_s089_v05.wav,elle a dit ce que je voulais,s089
483,M16_a1_s089_v02.wav,elle a dit ce que je voulais,s089
484,M04_a1_s089_v03.wav,elle a dit ce que je voulais,s089
485,F03_a4_s089_v04.wav,elle a dit ce que je voulais,s089
486,F20_a1_s090_v01.wav,elle est allée à la montagne,s090
487,F18_a1_s090_v03.wav,elle est allée à la montagne,s090
488,F18_a4_s090_v01.wav,elle est allée à la montagne,s090
